Motion Sensor Data File Oct 15, 2024 2:30 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	27.492	0.239
0.010	27.703	0.239
0.020	27.836	0.239
0.030	27.995	0.239
0.040	28.115	0.239
0.050	28.183	0.239
0.060	28.230	0.239
0.070	28.239	0.239
0.080	28.251	0.239
0.090	28.229	0.239
0.100	28.220	0.239
0.110	28.057	0.239
0.120	27.901	0.239
0.130	27.768	0.239
0.140	27.540	0.239
0.150	27.350	0.239
0.160	27.092	0.239
0.170	26.829	0.239
0.180	26.537	0.239
0.190	26.360	0.239
0.200	26.110	0.239
0.210	25.822	0.239
0.220	25.478	0.239
0.230	25.121	0.239
0.240	24.759	0.239
0.250	24.406	0.239
0.260	24.028	0.239
0.270	23.641	0.239
0.280	23.266	0.239
0.290	22.939	0.239
0.300	22.582	0.239
0.310	22.246	0.239
0.320	21.893	0.239
0.330	21.562	0.239
0.340	21.248	0.239
0.350	20.942	0.239
0.360	20.714	0.239
0.370	20.477	0.239
0.380	20.215	0.239
0.390	20.029	0.239
0.400	19.862	0.239
0.410	19.702	0.239
0.420	19.564	0.239
0.430	19.508	0.239
0.440	19.452	0.239
0.450	19.417	0.239
0.460	19.413	0.239
0.470	19.455	0.239
0.480	19.511	0.239
0.490	19.532	0.239
0.500	19.760	0.239
0.510	19.837	0.239
0.520	20.094	0.239
0.530	20.228	0.239
0.540	20.515	0.239
0.550	20.794	0.239
0.560	21.069	0.239
0.570	21.323	0.239
0.580	21.593	0.239
0.590	21.950	0.239
0.600	22.285	0.239
0.610	22.624	0.239
0.620	22.998	0.239
0.630	23.372	0.239
0.640	23.763	0.239
0.650	24.123	0.239
0.660	24.485	0.239
0.670	24.854	0.239
0.680	25.215	0.239
0.690	25.563	0.239
0.700	25.919	0.239
0.710	26.229	0.239
0.720	26.512	0.239
0.730	26.765	0.239
0.740	27.023	0.239
0.750	27.277	0.239
0.760	27.521	0.239
0.770	27.693	0.239
0.780	27.895	0.239
0.790	28.024	0.239
0.800	28.131	0.239
0.810	28.238	0.239
0.820	28.302	0.239
0.830	28.323	0.239
0.840	28.331	0.239
0.850	28.309	0.239
0.860	28.241	0.239
0.870	28.141	0.239
0.880	28.025	0.239
0.890	27.896	0.239
0.900	27.698	0.239
0.910	27.504	0.239
0.920	27.289	0.239
0.930	27.009	0.239
0.940	26.725	0.239
0.950	26.462	0.239
0.960	26.187	0.239
0.970	25.881	0.239
0.980	25.554	0.239
0.990	25.197	0.239
1.000	24.831	0.239
1.010	24.495	0.239
1.020	24.134	0.239
1.030	23.768	0.239
1.040	23.394	0.239
1.050	23.011	0.239
1.060	22.671	0.239
1.070	22.323	0.239
1.080	21.982	0.239
1.090	21.651	0.239
1.100	21.350	0.239
1.110	21.091	0.239
1.120	20.824	0.239
1.130	20.545	0.239
1.140	20.291	0.239
1.150	20.153	0.239
1.160	19.916	0.239
1.170	19.813	0.239
1.180	19.662	0.239
1.190	19.580	0.239
1.200	19.550	0.239
1.210	19.506	0.239
1.220	19.506	0.239
1.230	19.536	0.239
1.240	19.570	0.239
1.250	19.613	0.239
1.260	19.780	0.239
1.270	19.891	0.239
1.280	20.089	0.239
1.290	20.261	0.239
1.300	20.514	0.239
1.310	20.776	0.239
1.320	21.016	0.239
1.330	21.291	0.239
1.340	21.601	0.239
1.350	21.936	0.239
1.360	22.271	0.239
1.370	22.615	0.239
1.380	22.928	0.239
1.390	23.280	0.239
1.400	23.658	0.239
1.410	24.040	0.239
1.420	24.402	0.239
1.430	24.771	0.239
1.440	25.115	0.239
1.450	25.458	0.239
1.460	25.776	0.239
1.470	26.068	0.239
1.480	26.197	0.239
1.490	26.506	0.239
1.500	26.798	0.239
1.510	27.090	0.239
1.520	27.284	0.239
1.530	27.472	0.239
1.540	27.683	0.239
1.550	27.812	0.239
1.560	27.927	0.239
1.570	28.034	0.239
1.580	28.112	0.239
1.590	28.137	0.239
1.600	28.145	0.239
1.610	28.124	0.239
1.620	28.076	0.239
1.630	27.994	0.239
1.640	27.882	0.239
1.650	27.766	0.239
1.660	27.585	0.239
1.670	27.400	0.239
1.680	27.176	0.239
1.690	26.943	0.239
1.700	26.853	0.239
1.710	26.616	0.239
1.720	26.297	0.239
1.730	25.962	0.239
1.740	25.630	0.239
1.750	25.286	0.239
1.760	24.933	0.239
1.770	24.567	0.239
1.780	24.245	0.239
1.790	23.896	0.239
1.800	23.543	0.239
1.810	23.186	0.239
1.820	22.842	0.239
1.830	22.493	0.239
1.840	22.149	0.239
1.850	21.835	0.239
1.860	21.503	0.239
1.870	21.181	0.239
1.880	20.858	0.239
1.890	20.578	0.239
1.900	20.410	0.239
1.910	20.126	0.239
1.920	19.881	0.239
1.930	19.760	0.239
1.940	19.626	0.239
1.950	19.458	0.239
1.960	19.432	0.239
1.970	19.428	0.239
1.980	19.436	0.239
1.990	19.448	0.239
2.000	19.427	0.239
2.010	19.439	0.239
2.020	19.598	0.239
2.030	19.709	0.239
2.040	19.847	0.239
2.050	20.096	0.239
2.060	20.392	0.239
2.070	20.517	0.239
2.080	20.805	0.239
2.090	21.161	0.239
2.100	21.496	0.239
2.110	21.797	0.239
2.120	22.093	0.239
2.130	22.441	0.239
2.140	22.789	0.239
2.150	23.146	0.239
2.160	23.506	0.239
2.170	23.855	0.239
2.180	24.203	0.239
2.190	24.563	0.239
2.200	24.920	0.239
2.210	25.281	0.239
2.220	25.620	0.239
2.230	25.934	0.239
2.240	26.269	0.239
2.250	26.556	0.239
2.260	26.793	0.239
2.270	27.050	0.239
2.280	27.304	0.239
2.290	27.527	0.239
2.300	27.699	0.239
