Motion Sensor Data File Oct 15, 2024 2:31 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	21.523	0.239
0.010	21.544	0.239
0.020	21.578	0.239
0.030	21.638	0.239
0.040	21.732	0.239
0.050	21.839	0.239
0.060	21.981	0.239
0.070	22.140	0.239
0.080	22.324	0.239
0.090	22.517	0.239
0.100	22.741	0.239
0.110	22.968	0.239
0.120	23.209	0.239
0.130	23.471	0.239
0.140	23.733	0.239
0.150	24.016	0.239
0.160	24.300	0.239
0.170	24.583	0.239
0.180	24.884	0.239
0.190	25.176	0.239
0.200	25.459	0.239
0.210	25.760	0.239
0.220	26.043	0.239
0.230	26.310	0.239
0.240	26.576	0.239
0.250	26.825	0.239
0.260	27.061	0.239
0.270	27.284	0.239
0.280	27.486	0.239
0.290	27.680	0.239
0.300	27.834	0.239
0.310	27.975	0.239
0.320	28.104	0.239
0.330	28.194	0.239
0.340	28.267	0.239
0.350	28.327	0.239
0.360	28.348	0.239
0.370	28.343	0.239
0.380	28.330	0.239
0.390	28.278	0.239
0.400	28.192	0.239
0.410	28.101	0.239
0.420	27.976	0.239
0.430	27.843	0.239
0.440	27.670	0.239
0.450	27.481	0.239
0.460	27.283	0.239
0.470	27.059	0.239
0.480	26.814	0.239
0.490	26.568	0.239
0.500	26.310	0.239
0.510	26.034	0.239
0.520	25.759	0.239
0.530	25.471	0.239
0.540	25.178	0.239
0.550	24.894	0.239
0.560	24.601	0.239
0.570	24.317	0.239
0.580	24.025	0.239
0.590	23.745	0.239
0.600	23.478	0.239
0.610	23.215	0.239
0.620	22.970	0.239
0.630	22.742	0.239
0.640	22.522	0.239
0.650	22.324	0.239
0.660	22.156	0.239
0.670	22.001	0.239
0.680	21.859	0.239
0.690	21.755	0.239
0.700	21.660	0.239
0.710	21.604	0.239
0.720	21.552	0.239
0.730	21.526	0.239
0.740	21.543	0.239
0.750	21.573	0.239
0.760	21.629	0.239
0.770	21.718	0.239
0.780	21.817	0.239
0.790	21.945	0.239
