Motion Sensor Data File Oct 15, 2024 2:30 PM
Time (s)	Velocity (cm/s)
0.000	NaN
0.010	21.027
0.020	13.287
0.030	15.910
0.040	11.997
0.050	6.837
0.060	4.687
0.070	0.860
0.080	1.247
0.090	-2.193
0.100	-0.860
0.110	-16.383
0.120	-15.523
0.130	-13.330
0.140	-22.833
0.150	-18.963
0.160	-25.800
0.170	-26.273
0.180	-29.240
0.190	-17.673
0.200	-24.983
0.210	-28.810
0.220	-34.443
0.230	-35.733
0.240	-36.120
0.250	-35.303
0.260	-37.840
0.270	-38.743
0.280	-37.453
0.290	-32.680
0.300	-35.733
0.310	-33.583
0.320	-35.260
0.330	-33.153
0.340	-31.390
0.350	-30.573
0.360	-22.833
0.370	-23.650
0.380	-26.273
0.390	-18.533
0.400	-16.770
0.410	-15.953
0.420	-13.803
0.430	-5.590
0.440	-5.633
0.450	-3.483
0.460	-0.430
0.470	4.257
0.480	5.547
0.490	2.150
0.500	22.747
0.510	7.697
0.520	25.757
0.530	13.330
0.540	28.767
0.550	27.907
0.560	27.477
0.570	25.370
0.580	27.047
0.590	35.647
0.600	33.497
0.610	33.927
0.620	37.410
0.630	37.367
0.640	39.087
0.650	36.077
0.660	36.120
0.670	36.937
0.680	36.077
0.690	34.787
0.700	35.647
0.710	30.960
0.720	28.337
0.730	25.327
0.740	25.757
0.750	25.370
0.760	24.467
0.770	17.157
0.780	20.167
0.790	12.900
0.800	10.707
0.810	10.707
0.820	6.450
0.830	2.107
0.840	0.817
0.850	-2.193
0.860	-6.880
0.870	-9.933
0.880	-11.653
0.890	-12.900
0.900	-19.823
0.910	-19.393
0.920	-21.500
0.930	-27.993
0.940	-28.380
0.950	-26.273
0.960	-27.563
0.970	-30.530
0.980	-32.723
0.990	-35.733
1.000	-36.550
1.010	-33.583
1.020	-36.120
1.030	-36.593
1.040	-37.453
1.050	-38.270
1.060	-34.013
1.070	-34.830
1.080	-34.013
1.090	-33.153
1.100	-30.100
1.110	-25.843
1.120	-26.703
1.130	-27.950
1.140	-25.413
1.150	-13.803
1.160	-23.650
1.170	-10.363
1.180	-15.093
1.190	-8.170
1.200	-3.053
1.210	-4.343
1.220	0.000
1.230	2.967
1.240	3.397
1.250	4.300
1.260	16.727
1.270	11.137
1.280	19.737
1.290	17.200
1.300	25.327
1.310	26.187
1.320	24.037
1.330	27.520
1.340	30.917
1.350	33.497
1.360	33.497
1.370	34.400
1.380	31.347
1.390	35.217
1.400	37.797
1.410	38.227
1.420	36.120
1.430	36.937
1.440	34.357
1.450	34.357
1.460	31.820
1.470	29.197
1.480	12.857
1.490	30.917
1.500	29.240
1.510	29.197
1.520	19.307
1.530	18.877
1.540	21.070
1.550	12.857
1.560	11.567
1.570	10.707
1.580	7.740
1.590	2.537
1.600	0.817
1.610	-2.150
1.620	-4.773
1.630	-8.213
1.640	-11.223
1.650	-11.610
1.660	-18.103
1.670	-18.490
1.680	-22.403
1.690	-23.263
1.700	-9.030
1.710	-23.693
1.720	-31.863
1.730	-33.540
1.740	-33.153
1.750	-34.443
1.760	-35.260
1.770	-36.593
1.780	-32.250
1.790	-34.873
1.800	-35.303
1.810	-35.690
1.820	-34.443
1.830	-34.830
1.840	-34.443
1.850	-31.433
1.860	-33.110
1.870	-32.293
1.880	-32.293
1.890	-27.950
1.900	-16.813
1.910	-28.380
1.920	-24.553
1.930	-12.083
1.940	-13.330
1.950	-16.813
1.960	-2.623
1.970	-0.430
1.980	0.817
1.990	1.247
2.000	-2.193
2.010	1.290
2.020	15.867
2.030	11.137
2.040	13.760
2.050	24.897
2.060	29.627
2.070	12.427
2.080	28.810
2.090	35.647
2.100	33.497
2.110	30.057
2.120	29.627
2.130	34.830
2.140	34.787
2.150	35.647
2.160	36.077
2.170	34.830
2.180	34.787
2.190	36.077
2.200	35.647
2.210	36.077
2.220	33.970
2.230	31.347
2.240	33.497
2.250	28.767
2.260	23.650
2.270	25.757
2.280	25.327
2.290	22.317
2.300	17.200
2.310	17.157
2.320	12.857
2.330	10.707
2.340	6.450
2.350	5.977
2.360	2.537
2.370	-1.720
2.380	-3.913
2.390	-7.783
2.400	-9.460
2.410	-9.933
2.420	-17.673
2.430	-15.480
2.440	-21.973
2.450	-22.833
2.460	-21.070
2.470	-28.423
2.480	-31.863
2.490	-32.250
2.500	-31.433
2.510	-30.960
2.520	-32.293
2.530	-34.443
2.540	-36.120
2.550	-35.733
2.560	-36.593
2.570	-36.120
2.580	-31.433
2.590	-34.830
2.600	-34.013
2.610	-31.863
2.620	-33.110
2.630	-30.573
2.640	-23.263
2.650	-26.660
2.660	-26.703
2.670	-23.220
2.680	-15.953
2.690	-21.113
2.700	-10.750
2.710	-11.653
2.720	-13.373
2.730	-2.580
2.740	-2.193
2.750	1.247
2.760	1.247
2.770	6.880
2.780	15.007
2.790	8.127
2.800	18.490
2.810	15.437
2.820	23.177
2.830	18.447
2.840	25.370
2.850	29.627
2.860	29.627
2.870	28.767
2.880	30.960
2.890	33.067
2.900	33.927
2.910	34.357
2.920	36.077
2.930	35.690
2.940	36.077
2.950	34.787
2.960	33.927
2.970	34.830
2.980	32.637
2.990	29.197
3.000	30.917
3.010	26.187
3.020	27.950
3.030	29.197
3.040	24.467
3.050	19.307
3.060	21.930
3.070	15.007
3.080	15.007
3.090	9.890
3.100	8.557
3.110	5.977
3.120	2.537
3.130	-1.720
3.140	-1.763
3.150	-7.353
3.160	-9.460
3.170	-10.793
3.180	-15.093
3.190	-16.340
3.200	-21.113
3.210	-20.253
3.220	-23.220
3.230	-27.563
3.240	-27.993
3.250	-28.810
3.260	-30.143
3.270	-31.820
3.280	-33.583
3.290	-34.013
3.300	-34.400
3.310	-34.443
3.320	-37.840
3.330	-37.023
3.340	-34.873
3.350	-34.830
3.360	-35.303
3.370	-34.443
3.380	-33.110
3.390	-24.123
3.400	-24.940
3.410	-31.433
3.420	-37.023
3.430	-6.880
3.440	-27.563
3.450	-25.413
3.460	-12.470
3.470	-5.203
3.480	-18.963
