Motion Sensor Data File Oct 15, 2024 2:32 PM
Time (s)	Velocity (cm/s)
0.000	NaN
0.010	2.107
0.020	3.397
0.030	5.977
0.040	9.460
0.050	10.707
0.060	14.147
0.070	15.910
0.080	18.447
0.090	19.307
0.100	22.317
0.110	22.747
0.120	24.080
0.130	26.187
0.140	26.187
0.150	28.337
0.160	28.380
0.170	28.337
0.180	30.057
0.190	29.197
0.200	28.380
0.210	30.057
0.220	28.337
0.230	26.617
0.240	26.617
0.250	24.940
0.260	23.607
0.270	22.317
0.280	20.167
0.290	19.350
0.300	15.437
0.310	14.147
0.320	12.857
0.330	9.030
0.340	7.267
0.350	5.977
0.360	2.107
0.370	-0.430
0.380	-1.333
0.390	-5.203
0.400	-8.600
0.410	-9.073
0.420	-12.513
0.430	-13.330
0.440	-17.243
0.450	-18.963
0.460	-19.780
0.470	-22.403
0.480	-24.553
0.490	-24.510
0.500	-25.843
0.510	-27.563
0.520	-27.520
0.530	-28.853
0.540	-29.283
0.550	-28.380
0.560	-29.283
0.570	-28.423
0.580	-29.240
0.590	-27.993
0.600	-26.660
0.610	-26.273
0.620	-24.553
0.630	-22.790
0.640	-21.973
0.650	-19.823
0.660	-16.770
0.670	-15.523
0.680	-14.233
0.690	-10.320
0.700	-9.503
0.710	-5.633
0.720	-5.203
0.730	-2.580
0.740	1.677
0.750	2.967
0.760	5.590
0.770	8.987
0.780	9.847
0.790	12.857
0.800	15.910
0.810	17.587
0.820	18.447
0.830	22.317
0.840	21.930
0.850	24.467
0.860	25.327
0.870	26.187
0.880	27.950
0.890	27.477
0.900	28.337
0.910	29.627
0.920	28.767
0.930	29.670
0.940	30.057
0.950	27.907
0.960	26.617
0.970	27.090
0.980	25.327
0.990	24.897
1.000	21.887
1.010	20.597
1.020	19.350
1.030	16.727
1.040	14.147
1.050	13.717
1.060	10.320
1.070	7.267
1.080	6.837
1.090	2.580
1.100	-0.043
1.110	-0.473
1.120	-4.773
1.130	-5.590
1.140	-9.503
1.150	-12.083
